group	label	d18O	d15N	SP	sigma(d18O)	sigma(d15N)	sigma(SP)
1	N2O-NR-KW27-SO-2	30.1	-16.5	-0.6	0.11	0.10	1.17
1	N2O-NR-KW27-SO-8	29.5	-9.5	8.1	0.16	0.15	1.78
1	N2O-NR-KW27-SO-11	32.5	-13.7	9.4	0.12	0.11	1.31
2	N2O-NR-KW27-SO-15	41.1	-4.3	-9.0	0.33	0.31	3.69
3	N2O-NR-KW28-SO-2	27.5	-26.7	4.1	0.02	0.02	0.22
3	N2O-NR-KW28-SO-8	27.8	-23.4	5.5	0.01	0.01	0.15
3	N2O-NR-KW28-SO-11	29.3	-24.9	8.8	0.01	0.01	0.08
4	N2O-NR-NW-KW11-12	36.2	-7.1	9.5	0.14	0.13	1.58
4	N2O-NR-NW-KW11-14	36.5	-11.4	11.9	0.21	0.20	2.34
4	N2O-NR-NW-KW11-5	35.3	-17.6	3.9	0.29	0.27	3.21
4	N2O-NR-NW-KW11-6	34.4	-21.6	6.3	0.37	0.34	4.05
5	N2O-NR-NW-KW11-7	35.8	-10.6	12.8	0.32	0.30	3.57
6	N2O-NR-NW-KW11-18	44.0	3.8	17.1	0.24	0.22	2.63
6	N2O-NR-NW-KW11-19	43.9	2.2	10.5	0.19	0.18	2.11
7	N2O-NR-NW-KW11-1	37.4	-12.8	10.8	0.14	0.13	1.54
7	N2O-NR-NW-KW11-11	41.7	-1.1	17.1	0.23	0.21	2.50
8	N2O-NR-NW-KW11-21	41.9	0.0	12.6	0.17	0.16	1.91
8	N2O-NR-NW-KW11-22	38.8	-5.8	8.7	0.23	0.22	2.58
8	N2O-NR-NW-KW11-23	36.6	-13.1	11.8	0.11	0.11	1.24
8	N2O-NR-NW-KW11-24	40.0	-3.1	5.9	0.32	0.30	3.49
9	N2O-NR-NW-KW11-15	40.2	-4.3	11.9	0.16	0.15	1.78
